pair,trial,repetition,role,tangram,message,num_words,correct
pair26,65,6,director,F,sitting legs out,3,1
pair26,66,6,director,G,stretched,1,1
pair26,67,6,director,E,bunny,1,1
pair26,68,6,director,J,flat side,2,1
pair26,69,6,director,D,cloak,1,1
pair26,70,6,director,L,knees bent,2,1
pair26,71,6,director,H,no arms or legs,4,1
pair26,72,6,director,K,praying feet up,3,1
pair27,1,1,director,L,looks like a person pointing,5,0
pair27,2,1,director,H,a person with no arms or legs,7,1
pair27,2,1,matcher,H,do they have a triangle pointing right?,7,1
pair27,2,1,director,H,nothing is pointing they have a head with no arms or legs,12,1
pair27,3,1,director,D,they are pointing left,4,1
pair27,4,1,director,K,oddly shaped and pointing right,5,1
pair27,4,1,matcher,K,does it look like they are kneeling?,7,1
pair27,4,1,director,K,yes,1,1
pair27,5,1,director,C,looks like the flying nun,5,1
pair27,6,1,director,E,looks like a bunny rabbit,5,1
pair27,7,1,director,J,they are pointing right with no legs really,8,0
pair27,8,1,director,B,looks like a mouse,4,0
pair27,9,1,director,G,looks like they are stretching,5,0
pair27,9,1,director,G,like a ballet move,4,0
pair27,10,1,director,I,looks like they are lifting on leg in the air,10,1
pair27,10,1,matcher,I,like yoga?,2,1
pair27,10,1,director,I,yes,1,1
pair27,11,1,director,F,sitting down,2,1
pair27,11,1,matcher,F,with legs out?,3,1
pair27,11,1,director,F,yes,1,1
pair27,12,1,director,A,like they are carrying something on their back,8,1
pair27,12,1,matcher,A,a square on their back?,5,1
pair27,12,1,director,A,yes,1,1
pair27,13,2,director,F,sitting down with leg out,5,1
pair27,13,2,matcher,F,the one from before?,4,1
pair27,13,2,director,F,yes,1,1
pair27,14,2,director,H,the one with no arms or legs,7,1
pair27,15,2,director,G,the ballet move stretching one,5,1
pair27,15,2,matcher,G,i got that one wrong...with large left leg?,8,1
pair27,15,2,director,G,like a pointing toe,4,1
pair27,15,2,matcher,G,arm to right or left?,5,1
pair27,16,2,director,A,carrying on the back a square,6,1
pair27,16,2,director,A,square,1,1
pair27,17,2,director,K,pointing to the right and kneeling,6,1
pair27,18,2,director,B,mouse,1,1
pair27,19,2,director,E,rabbit,1,1
pair27,20,2,director,C,flying nun,2,1
pair27,21,2,director,D,pointing to the left,4,1
pair27,22,2,director,L,pointing to the right,4,0
pair27,23,2,director,J,pointing to right no arms or legs,7,1
pair27,23,2,director,J,has one arm,3,1
pair27,24,2,director,I,ice skating with leg in air,6,1
pair27,25,3,director,J,pointing to the right with one arm,7,0
pair27,26,3,director,E,bunny rabbit,2,1
pair27,27,3,director,D,pointing to the left,4,1
pair27,28,3,director,B,mouse,1,1
pair27,29,3,director,K,pointing to the right and kneeling,6,1
pair27,30,3,director,F,sitting down with leg out,5,1
pair27,31,3,director,I,skating with leg out,4,1
pair27,32,3,director,C,flying nun,2,1
pair27,33,3,director,H,no arms or legs,4,1
pair27,34,3,director,G,ballet dancing with leg out,5,1
pair27,35,3,director,L,pointing to right and kneeling,5,0
pair27,36,3,director,A,carrying square on back,4,1
pair27,37,4,director,G,ballet dancer with leg out,5,1
pair27,38,4,director,A,square on back,3,1
pair27,39,4,director,F,sitting down with leg out,5,1
pair27,40,4,director,L,pointing to the right and kneeling,6,0
pair27,41,4,director,K,pointing to the right and kneeling like praying,8,1
pair27,42,4,director,D,pointing to left,3,1
pair27,43,4,director,J,pointing out right with one arm,6,1
pair27,44,4,director,I,ice skating with leg out,5,1
pair27,45,4,director,B,mouse,1,1
pair27,46,4,director,C,flying nun,2,1
pair27,47,4,director,E,rabbit,1,1
pair27,48,4,director,H,no arms or legs,4,1
pair27,49,5,director,I,ice skating,2,1
pair27,50,5,director,C,flying nun,2,1
pair27,51,5,director,G,ballet dancer,2,1
pair27,52,5,director,D,pointing to left,3,1
pair27,53,5,director,H,no arms or legs,4,1
pair27,54,5,director,F,sitting down with leg out,5,1
pair27,55,5,director,E,rabbit,1,1
pair27,56,5,director,J,pointing to right with one leg,6,0
pair27,57,5,director,B,mouse,1,1
pair27,58,5,director,L,pointing to right and kneeling,5,1
pair27,59,5,director,K,pointing to right and kneeling but not like the last one,11,1
pair27,60,5,director,A,square on back,3,1
pair27,61,6,director,C,flying nun,2,1
pair27,62,6,director,D,pointing to left,3,1
pair27,63,6,director,A,square on back,3,1
pair27,64,6,director,E,rabbit,1,1
pair27,65,6,director,L,pointing to right and kneeling,5,1
pair27,66,6,director,H,no arms or legs,4,1
pair27,67,6,director,B,mouse,1,1
pair27,68,6,director,G,ballet dancer,2,1
pair27,69,6,director,K,pointing to right and kneeling,5,0
pair27,70,6,director,I,ice skating,2,1
pair27,71,6,director,J,pointing to right,3,1
pair27,72,6,director,F,sitting down with leg out,5,1
pair28,1,1,director,L,"ok so this one looks like a person with slightly bent knees, pointing their arms to the right",18,1
pair28,2,1,director,H,this one is hard...  kind of looks like a person in a sleeping bag.  can't really make out arms or legs,21,1
pair28,3,1,director,E,this one is like a square with a windmill on top of a hill,14,1
pair28,4,1,director,A,"a person kicking their leg out to the left and looking down, with a square on his back",18,1
pair28,5,1,director,I,"a person in sort of a ballet pose, leaning over slightly to the left and sticking their leg straight out behind them to the right",25,1
pair28,6,1,director,K,"kind of like the first one we did, a person slightly crouched with their arms pointed to the right, but this one has more of a dress that sticks up in the back",33,1
pair28,7,1,director,D,"sort of like a person in a graduation gown, his body is very straight and is holding a square object to the left",23,1
pair28,8,1,director,C,kinda looks like a ghost flying.  bent slightly to the left with arms up in the air,17,1
pair28,9,1,director,G,"no idea what this one is.  it's the least human looking one of all, but not the other one we did with the square windmill on top of a hill",30,0
pair28,9,1,matcher,G,hmm,1,0
pair28,9,1,director,G,i don't really know how to describe this one...  looks like nothing,12,0
pair28,9,1,director,G,"there is a square on top, with two triangles spaced farther apart on the right side",16,0
pair28,9,1,matcher,G,anything sticking out on it?,5,0
pair28,9,1,director,G,the triangles are sticking out to the right,8,0
pair28,10,1,director,F,"this one is like a person sitting on the ground with his back against a wall, knees bent",18,0
pair28,10,1,director,F,sorta like he's reading a book up against a tree or something,12,0
pair28,10,1,director,F,legs are pointed to the left,6,0
pair28,11,1,director,J,"very boxy body on this one, small triangle near the top pointed to the right",15,1
pair28,11,1,director,J,the bottom has a slight triangle for a foot also,10,1
pair28,12,1,director,B,a person that is kneeling over with his arms stretched out,11,0
pair28,12,1,director,B,i think this is the one you picked for the impossible to describe one,14,0
pair28,12,1,director,B,leg is sort of sticking out behind him to the left,11,0
pair28,13,2,director,L,the one you just picked,5,1
pair28,13,2,director,L,is this one,3,1
pair28,14,2,director,A,"person kicking leg to the left, looking down at it",10,1
pair28,14,2,director,A,square on back,3,1
pair28,15,2,director,E,box windmill thing on top of hill,7,1
pair28,16,2,director,D,"person in graduation outfit, holding a box",7,1
pair28,17,2,director,J,"another hard one to describe, body is basically one solid piece",11,1
pair28,17,2,director,J,very boxy body,3,1
pair28,17,2,director,J,small triangle at top pointed to the right,8,1
pair28,17,2,director,J,base is slightly narrower than the body,7,1
pair28,18,2,director,B,"person kneeling with arms spread to the sides, leg stuck out behind to the left",15,1
pair28,19,2,director,G,the impossible to describe one again,6,1
pair28,19,2,director,G,"i guess it kind looks like a candle on top, the square is off to the left on top",19,1
pair28,19,2,director,G,two triangles on the backside of the object,8,1
pair28,20,2,director,C,umm the ghost again,4,1
pair28,21,2,director,K,"person kneeling slightly, arms to the right, but slightly bigger gown in the back",14,1
pair28,22,2,director,I,"person bent over to the left, leg stuck straight out to the right",13,1
pair28,22,2,director,I,i'll call this one the chicken pose if it shows up again,12,1
pair28,23,2,director,H,sleeping bag guy,3,1
pair28,24,2,director,F,guy sitting and reading,4,1
pair28,24,2,director,F,back against a wall,4,1
pair28,25,3,director,C,ghost,1,1
pair28,26,3,director,E,windmill box on a hill,5,1
pair28,27,3,director,G,impossible candle like one,4,0
pair28,28,3,director,H,sleeping bag guy,3,1
pair28,29,3,director,F,guy reading against a wall,5,1
pair28,30,3,director,D,"graduation guy, holding a box to the left",8,1
pair28,31,3,director,K,"guy kneeling, arms to the left, slightly bigger gown in the back",12,1
pair28,31,3,director,K,arms to the right,4,1
pair28,32,3,director,I,chicken pose,2,1
pair28,33,3,director,A,"sad guy kicking leg to the left, looking down",9,1
pair28,33,3,director,A,i'll just call this one the sad guy if that works for you haha,14,1
pair28,34,3,director,B,"arms spread to the sides, leg stuck out to the left",11,1
pair28,34,3,director,B,kneeling slightly,2,1
pair28,35,3,director,L,"bent knees, arms to the right",6,1
pair28,35,3,director,L,not the one with the bigger gown in the back,10,1
pair28,36,3,director,J,one of the hard ones..,5,1
pair28,36,3,director,J,oh this is the one you thought looked like a candle,11,1
pair28,36,3,director,J,not the impossible one i explained,6,1
pair28,37,4,director,J,i'll just call that one the candle,7,1
pair28,37,4,director,J,candle again,2,1
pair28,37,4,director,J,it does look like a candle now that i think about it hah,13,1
pair28,37,4,director,J,but yeah same one again,5,1
pair28,38,4,director,F,guy reading,2,1
pair28,39,4,director,A,sad guy,2,1
pair28,40,4,director,G,the impossible one,3,1
pair28,40,4,director,G,triangles on the right side,5,1
pair28,41,4,director,C,ghost,1,1
pair28,42,4,director,I,chicken pose,2,1
pair28,43,4,director,H,sleeping bag,2,1
pair28,44,4,director,K,"bigger gown in back, arms to the right, slightly kneeling",10,1
pair28,45,4,director,E,windmill box on hill,4,1
pair28,46,4,director,D,graduation guy,2,1
pair28,47,4,director,L,"kneeling, arms to the right, not the bigger gown one",10,1
pair28,48,4,director,B,"arms spread, kneeling, leg behind to the left",8,1
pair28,49,5,director,H,sleeping bag,2,1
pair28,50,5,director,I,chicken,1,1
pair28,51,5,director,E,windmill box on hill,4,1
pair28,52,5,director,K,bigger gown in back one,5,1
pair28,52,5,director,K,arms to the right,4,1
pair28,53,5,director,C,ghost,1,1
pair28,54,5,director,B,arms spread,2,1
pair28,54,5,director,B,leg to the left,4,1
pair28,55,5,director,F,guy reading,2,1
pair28,56,5,director,J,candle,1,1
pair28,57,5,director,D,graduation guy,2,1
pair28,58,5,director,G,impossible one,2,1
pair28,58,5,director,G,triangles hanging off on the right,6,1
pair28,59,5,director,A,sad guy,2,1
pair28,60,5,director,L,small gown,2,1
pair28,60,5,director,L,arms to the right,4,1
pair28,61,6,director,H,sleeping bag,2,1
pair28,62,6,director,K,bigger gown,2,1
pair28,62,6,director,K,arms to the right,4,1
pair28,63,6,director,F,reading guy,2,1
pair28,64,6,director,I,chicken,1,1
pair28,65,6,director,E,windmill box,2,1
pair28,65,6,director,E,on hill,2,1
pair28,66,6,director,L,small gown,2,1
pair28,67,6,director,G,impossible one,2,1
pair28,67,6,director,G,triangles hanging off on the right,6,1
pair28,68,6,director,D,graduation guy,2,1
pair28,69,6,director,C,ghost,1,1
pair28,70,6,director,A,sad guy,2,1
pair28,71,6,director,J,candle,1,1
pair28,72,6,director,B,arms spread,2,1
pair28,72,6,director,B,leg out to the left,5,1
pair29,1,1,director,H,it sort of looks like a person kneeling,8,0
pair29,2,1,director,J,you can't see arms either,5,0
pair29,3,1,director,L,this one is kneeling as well.  it has an arm facing to the right,14,0
pair29,5,1,director,D,this is like a pope holding a scroll.  the scroll is on his left side.,15,1
pair29,5,1,director,D,he's standing,2,1
pair29,6,1,director,A,"this one is a dancer.  he has one leg on ground, and one leg kicked up a bit on left.",20,1
pair29,7,1,director,B,this one is kneeling.  it's facing forward and has his triangle arms on both left and right.  the feet are extended together to the bottom left,26,1
pair29,8,1,director,E,this one looks like a bunny rabbit.  the body curls from bottom right to top left.  it has two bunny ears,21,1
pair29,9,1,director,C,this one looks like a man in mid air falling.  his body is shifted to the left.  he's semi-upright.  he has no legs,23,1
pair29,10,1,director,K,this one is kneeling and has his arm extended to the right.  the heels of his feet extend quite high on the air.  the triangle head is perfectly upright on the very top and centered,35,1
pair29,11,1,director,I,this one is bending over to the left with one of his feet in the air behind him.  both his triangle arms are facing to the left.  one of the arms is directly above the other.,36,1
pair29,12,1,director,F,this man is resting down with his legs to the left.  he's sitting on the ground.  he has no arms.,20,1
pair29,13,2,director,I,this is the guy that is bending to the left with his back leg in the air and his arms on the left,23,1
pair29,13,2,director,I,from before.,2,1
pair29,14,2,director,B,this person is kneeling.  his arms are left and right.  triangles.  his feet extend behind him and to the left.   it's arms are like chicken wings,26,1
pair29,15,2,director,D,this is the pope holding the scroll while standing.,9,1
pair29,15,2,director,D,from earlier,2,1
pair29,16,2,director,E,this is the bunny rabbit,5,1
pair29,17,2,director,H,this is the kneeling with no legs or arms visible,10,0
pair29,18,2,director,A,"this guy has one leg kicked up to the left.  he has a beak on the left, and a normal diamond head on the right",25,1
pair29,19,2,director,L,this person is kneeling and facing to the right.  his body is shaped like a lightning bolt.  he's not quite kneeling but kinda squatting.  he may be kneeling on something like a communion pad at a church.  his arms are to the right,43,1
pair29,20,2,director,G,this is the most non human like one.,8,0
pair29,21,2,director,C,this is the falling guy with no legs,8,1
pair29,22,2,director,J,this has a diamond head that is perfectly up right.  it doesn't really have legs.  the bottom left of his body is a perfect 90 degree angle,27,0
pair29,23,2,director,K,this person has his arms to the right.  he is kneeling.  it's like he's begging.  his heels extend really high up.  it's as if his heels are as tall as his butt.,32,1
pair29,24,2,director,F,this is the person that's resting on the ground with his legs out in front of him.  his knees are slightly bent.  his arms are not visible.  imagine someone resting on the ground against a tree.,36,0
pair29,25,3,director,E,this is the bunny rabbit.,5,1
pair29,26,3,director,I,this is the guy with his one leg kicked up on the right and his arms on the left.  he's bending to the left.  his arms are triangles and one arm is directly above the other.,36,1
pair29,26,3,director,I,his arms are on the left,6,1
pair29,27,3,director,K,this is the person kneeling with the really tall heels.,10,1
pair29,27,3,director,K,facing to the right with arms to the right,9,1
pair29,28,3,director,G,this is the most non-human like one.  i imagine it looks like a seal.,14,0
pair29,28,3,director,G,except with a random triangle arm on bottom right,9,0
pair29,29,3,director,C,this is falling man.,4,1
pair29,30,3,director,D,pope with the scroll standing up.,6,1
pair29,31,3,director,B,chicken arms.  arms on left and right.  diamond head on the top.  one leg extending on bottom left.,18,1
pair29,32,3,director,J,this is the bottom left is a 90 degree angle.  the body is very square-like.,15,1
pair29,32,3,director,J,diamond head perfectly upright.,4,1
pair29,33,3,director,A,"guy dancing with the beak on top left, head on top right, and leg kicked up a bit on left",20,1
pair29,34,3,director,F,guy resting against a tree.,5,1
pair29,35,3,director,H,the guy kneeling with no arms or legs visible,9,1
pair29,36,3,director,L,the lightning bolt guy.  one arm to the right.  perfect diamond head.  knees bent as if bending over a communion cushion.,21,1
pair29,37,4,director,F,resting against a tree.,4,1
pair29,38,4,director,C,falling guy.,2,1
pair29,39,4,director,B,chicken wings,2,1
pair29,40,4,director,K,tall heels.,2,1
pair29,41,4,director,I,both arms on left.  leg kicked up in air on right,11,1
pair29,42,4,director,L,communion cushion.,2,0
pair29,42,4,director,L,cushion,1,0
pair29,43,4,director,D,pope with scroll.,3,1
pair29,44,4,director,J,90 degree angle square body,5,1
pair29,44,4,director,J,bottom left is 90 degree angle,6,1
pair29,45,4,director,A,beak top left.  head top right.  leg kicked up on left,11,1
pair29,46,4,director,H,kneeling guy with no arms or legs visible.,8,1
pair29,47,4,director,E,bunny rabbit,2,1
pair29,48,4,director,G,seal.,1,1
pair29,48,4,director,G,with dumb extra arm.,4,1
pair29,48,4,director,G,macaroni noodle,2,1
pair29,48,4,director,G,with an extra arm,4,1
pair29,49,5,director,F,resting against a tree.,4,1
pair29,50,5,director,L,communion cushion.  his knees are bent on the right halfway up his legs.,13,1
pair29,51,5,director,J,90 degree angle guy.,4,1
pair29,52,5,director,C,falling man.,2,1
pair29,53,5,director,E,bunny,1,1
pair29,54,5,director,H,no arms or no legs kneeling guy,7,1
pair29,55,5,director,D,scroll,1,1
pair29,56,5,director,I,back right leg kicked up.  both arms on left one directly above other.,13,1
pair29,57,5,director,B,chicken wing.,2,1
pair29,58,5,director,K,the tall heel guy,4,1
pair29,59,5,director,G,this is the seal elbow macaroni,6,1
pair29,60,5,director,A,top left beak top right head,6,1
pair29,61,6,director,K,tall heels,2,1
pair29,62,6,director,A,beak.,1,1
pair29,63,6,director,F,resting against a tree,4,1
pair29,64,6,director,H,no arms no legs kneeling,5,0
pair29,65,6,director,G,elbow macaroni seal,3,1
pair29,66,6,director,L,communion cushion,2,1
pair29,67,6,director,I,"arms on left, one above other.",6,1
pair29,68,6,director,D,scroll,1,1
pair29,69,6,director,E,bunny,1,1
pair29,70,6,director,B,ain't no thing but a chicken wing.,7,1
pair29,71,6,director,J,90 degree angle dude,4,1
pair29,72,6,director,C,the falling guy.,3,1
pair30,1,1,director,B,it kinda looks like a child in a blanket with its arms spread out,14,0
pair30,1,1,director,B,or like a baby,4,0
pair30,2,1,director,E,it looks like a bunny,5,1
pair30,2,1,matcher,E,i don't see any bunnies,5,1
pair30,2,1,director,E,hmm there's two triangles on its 'head',7,1
pair30,3,1,director,D,this one reminds me of a priest,7,1
pair30,4,1,director,H,"it looks like a person sitting down, but without the legs",11,1
pair30,4,1,director,H,like it just shows the torso,6,1
pair30,5,1,director,F,this one is a person sitting down,7,1
pair30,6,1,director,A,this one kind of looks like a bird,8,0
pair30,6,1,director,A,but with human legs,4,0
pair30,7,1,director,G,this one looks like someone in a dress,8,0
pair30,7,1,director,G,on the bottom theres a triangle,6,0
pair30,8,1,director,C,this one looks like someone raising both arms,8,1
pair30,8,1,director,C,no legs,2,1
pair30,9,1,director,I,this one looks like someone standing on one leg,9,0
pair30,10,1,director,K,looks like someone kneeling down,5,1
pair30,11,1,director,L,looks like someone bending their knees,6,1
pair30,11,1,director,L,standing,1,1
pair30,12,1,director,J,it looks like a diamond on top of a cliff,10,1
pair30,13,2,director,D,it looks like a priest,5,1
pair30,14,2,director,K,someone kneeling down,3,1
pair30,15,2,director,L,knees bent standing,3,1
pair30,16,2,director,B,baby arms spread,3,1
pair30,17,2,director,G,"someone in a dress, it's the widest looking one",9,1
pair30,18,2,director,H,torso only sitting down,4,1
pair30,19,2,director,I,balancing on one leg,4,1
pair30,20,2,director,C,arms spread no legs,4,1
pair30,21,2,director,E,"the rabbit, triangle ears",4,1
pair30,22,2,director,F,"sitting down, knees bent",4,1
pair30,23,2,director,A,"standing on one leg, one foot slightly up, looks like kicking something",12,1
pair30,24,2,director,J,diamond on cliff,3,1
pair30,25,3,director,C,arms spread no legs,4,1
pair30,26,3,director,B,baby arms spread,3,1
pair30,27,3,director,I,standing on one leg,4,1
pair30,28,3,director,K,kneeling down,2,1
pair30,29,3,director,A,"kicking, one leg slightly up",5,1
pair30,30,3,director,F,sitting down knees bent,4,1
pair30,31,3,director,J,diamond on cliff,3,1
pair30,32,3,director,D,priest,1,1
pair30,33,3,director,H,sitting torso,2,1
pair30,34,3,director,E,bunny,1,1
pair30,35,3,director,L,standing knees bent,3,1
pair30,36,3,director,G,dress,1,1
pair30,37,4,director,E,bunny,1,1
pair30,38,4,director,G,dress,1,1
pair30,39,4,director,D,priest,1,1
pair30,40,4,director,K,kneeling,1,1
pair30,41,4,director,B,baby arms spread,3,1
pair30,42,4,director,F,sitting knees bent,3,1
pair30,43,4,director,A,kicking,1,1
pair30,44,4,director,I,standing on one leg,4,1
pair30,45,4,director,C,arms spread no legs,4,1
pair30,46,4,director,H,torso,1,1
pair30,47,4,director,J,diamond on cliff,3,1
pair30,48,4,director,L,standing knees bent,3,1
pair30,49,5,director,L,standing knees bent,3,1
pair30,50,5,director,D,priest,1,1
pair30,51,5,director,K,kneeling,1,1
pair30,52,5,director,I,standing on one leg,4,1
pair30,53,5,director,J,diamond on cliff,3,1
pair30,54,5,director,C,arms spread no legs,4,1
pair30,55,5,director,G,dress,1,1
pair30,56,5,director,F,sitting knees bent,3,1
pair30,57,5,director,A,kicking,1,1
pair30,58,5,director,B,baby arms spread,3,1
pair30,59,5,director,E,bunny,1,1
pair30,60,5,director,H,torso,1,1
pair30,61,6,director,J,diamond cliff,2,1
pair30,62,6,director,I,one leg,2,1
pair30,63,6,director,B,baby arms spread,3,1
pair30,64,6,director,C,arms spread no legs,4,1
pair30,65,6,director,D,priest,1,1
pair30,66,6,director,A,kicking,1,1
pair30,67,6,director,L,standing knees bent,3,1
pair30,68,6,director,K,kneeling,1,1
pair30,69,6,director,F,sitting knees bent,3,1
pair30,70,6,director,E,bunny,1,1
pair30,71,6,director,G,dress,1,1
pair30,72,6,director,H,torso,1,1
pair31,1,1,director,L,image looks like a person kneeling,6,1
pair31,2,1,director,I,image looks like a person ice skating with one leg up,11,1
pair31,3,1,director,C,image looks like a person falling backward,7,1
pair31,3,1,director,C,with arms in the air,5,1
pair31,4,1,director,E,looks like a bunny sitting against a wall,8,1
pair31,5,1,director,H,a person kneeling in front of you,7,1
pair31,6,1,director,B,looks like a person with arms stretched out and right leg straight on the floor,15,1
pair31,7,1,director,J,looks like a person with a cape but arm stretched forward on right side,14,0
pair31,8,1,director,K,person kneeling and facing to the right holding a bowl,10,1
pair31,8,1,director,K,feet pointing up,3,1
pair31,8,1,matcher,K,do they have a diamond head centered?,7,1
pair31,8,1,matcher,K,i don't know how to ask this,7,1
pair31,8,1,director,K,"diamond head, corner of a triangle pointing to the right and another corner of a triangle pointing up behind",19,1
pair31,9,1,director,G,a person looks like they are dancing a taking a long step,12,1
pair31,9,1,matcher,G,is it like a walking bird holding a flag?,9,1
pair31,9,1,matcher,G,and facing down?,3,1
pair31,9,1,director,G,"diamond head, triangle to the right of the diamond, triangle bottom right",12,1
pair31,9,1,director,G,rhombus bottom left,3,1
pair31,10,1,director,F,looks like a person sitting facing left,7,1
pair31,11,1,director,A,square top left,3,1
pair31,11,1,director,A,sideways trapezoid under square and what looks like one leg kicking left,12,1
pair31,11,1,matcher,A,oh i think it's the bird with the flag,9,1
pair31,11,1,matcher,A,does it have a big beak?,6,1
pair31,12,1,director,D,looks like person looking left holding a bowl,8,0
pair31,12,1,director,D,wearing a robe,3,0
pair31,13,2,director,A,bird with flag,3,1
pair31,14,2,director,H,diamond head and what looks like a house under it,10,1
pair31,14,2,director,H,looks like a person kneeling facing you,7,1
pair31,15,2,director,D,person in robe holding bowl and facing left,8,1
pair31,16,2,director,G,looks like a person taking a big step to the right or dancing,13,1
pair31,17,2,director,C,person falling backward with arms in the air,8,1
pair31,18,2,director,K,"diamond head, diamond under, triangle corner pointing right",8,0
pair31,19,2,director,I,person ice skating with leg in the air,8,1
pair31,20,2,director,F,person sitting looking to the left,6,1
pair31,20,2,matcher,F,the one with a triangle on the right?,8,1
pair31,20,2,director,F,no,1,1
pair31,20,2,matcher,F,are his knees bent?,4,1
pair31,20,2,director,F,yes,1,1
pair31,21,2,director,L,person holding bowl facing right - not kneeling but sort of bending knees,13,1
pair31,22,2,director,E,rabbit sitting facing right,4,1
pair31,23,2,director,B,"diamond head, two separate triangles under (looks like stretched out arms)",11,1
pair31,24,2,director,J,looks like a broken vertical rectangle with a diamond head,10,1
pair31,25,3,director,F,person sitting against a wall facing left with knee bent,10,1
pair31,26,3,director,B,"diamond head, two triangles under like outstretched arms",8,1
pair31,27,3,director,C,falling back with arms in air,6,1
pair31,28,3,director,J,"diamond head, vertical broken rectangle",5,1
pair31,29,3,director,E,bunny sitting facing right,4,1
pair31,30,3,director,D,"diamond head, triangle under, rectangle under that or person with robe facing left holding bowl",15,1
pair31,31,3,director,K,"diamond head, triangle under, triangle corner pointing right - looks like person kneeling with feet pointed up behind them and they are holding a bowl",25,1
pair31,32,3,matcher,L,we can call that one the wizard with the bowl,10,1
pair31,32,3,director,L,person not kneeling but knees bent holding bowl facing right,10,1
pair31,33,3,director,H,diamond head and what looks like a house underneath -,10,1
pair31,33,3,director,H,person kneeling facing you,4,1
pair31,34,3,director,I,ice skater with leg up,5,1
pair31,34,3,director,I,facing left,2,1
pair31,35,3,director,A,bird with flag,3,1
pair31,36,3,director,G,person leaping forward or dancing,5,1
pair31,37,4,director,I,ice skater,2,1
pair31,38,4,director,A,bird with flag,3,1
pair31,39,4,director,L,person with bent knees holding bowl,6,1
pair31,40,4,director,D,diamond heard and house shape underneath,6,0
pair31,41,4,director,G,dancing or leaping person,4,1
pair31,42,4,director,F,person sitting against wall with bent knees facing left,9,1
pair31,43,4,director,J,diamond with vertical broken rectangle,5,1
pair31,44,4,director,C,falling back with arms in the air,7,1
pair31,45,4,director,B,diamond with 2 triangles that look like outstretched arms,9,1
pair31,46,4,director,E,bunny,1,1
pair31,47,4,director,H,kneeling person facing you,4,1
pair31,48,4,director,K,wizard with bowl,3,1
pair31,49,5,director,D,person with robe holding bowl - diamond with house shape under,11,1
pair31,50,5,director,J,diamond with vertical broken rectangle,5,1
pair31,51,5,director,C,falling back with arms in the air,7,1
pair31,52,5,director,G,dancing or leaping person,4,1
pair31,53,5,director,L,person holding bowl with knees bent,6,1
pair31,54,5,director,A,bird with flag,3,1
pair31,55,5,director,E,bunny,1,1
pair31,56,5,director,H,person kneeling facing you,4,1
pair31,57,5,director,K,wizard with bowl,3,1
pair31,58,5,director,I,ice skater,2,1
pair31,59,5,director,F,person sitting against wall with knee bent,7,1
pair31,60,5,director,B,diamond head with outstretched triangle arms,6,1
pair31,61,6,director,B,outstretched triangle arms,3,1
pair31,62,6,director,I,ice skater,2,1
pair31,63,6,director,H,kneeling facing you,3,1
pair31,64,6,director,J,diamond and vertical broken rectangle,5,1
pair31,65,6,director,G,dancing or leaping person,4,1
pair31,66,6,director,E,bunny,1,1
pair31,67,6,director,C,falling back with arms in air,6,1
pair31,68,6,director,L,holding bowl with bent knees not kneeling,7,1
pair31,69,6,director,D,looks like person in robe holding bowl facing left,9,1
pair31,70,6,director,K,wizard with bowl,3,1
pair31,71,6,director,A,bird with flag,3,1
pair31,72,6,director,F,sitting against wall with knees bent,6,1
pair32,1,1,director,E,it looks like a sitting down bunny kinda facing right,10,1
pair32,2,1,director,L,it looks like someone crouching down,6,0
pair32,2,1,director,L,not all the way though,5,0
pair32,2,1,director,L,just part way,3,0
pair32,3,1,director,A,it looks like a dinosaur looking down at its foot,10,1
pair32,4,1,director,G,it looks like someone sitting down and laying back on their elbows,12,1
pair32,5,1,director,K,kneeling totally down with hands up,6,0
pair32,6,1,director,F,sitting down with knees up and head looking down,9,1
pair32,7,1,director,C,the flying person,3,1
pair32,8,1,director,D,the person standing with their arms up like they're holding a book,12,0
pair32,9,1,director,B,the one that's kneeling and looks like it's puking,9,0
pair32,10,1,director,H,the one that is kneeling with its hands in its lap,11,0
pair32,11,1,director,I,ice skater,2,1
pair32,12,1,director,J,the big block with the diamond head in th middle,10,1
pair32,13,2,director,B,kneeling with arms behind it and puking from the head,10,1
pair32,14,2,director,F,sitting down with knees up looking down,7,1
pair32,15,2,director,I,ice skater,2,1
pair32,16,2,director,L,part way kneeling,3,1
pair32,17,2,director,E,sitting down bunny ears,4,1
pair32,18,2,director,G,sitting down with arm behind it,6,1
pair32,19,2,director,A,dinosaur guy,2,1
pair32,20,2,director,C,flyer,1,1
pair32,21,2,director,H,sitting down with arms in lap,6,0
pair32,22,2,director,K,kneeling with arms in front facing right,7,0
pair32,22,2,director,K,no puking,2,0
pair32,23,2,director,J,anyway this one is the big block with head in the middle,12,1
pair32,24,2,director,D,guy standing and holding a book,6,1
pair32,25,3,director,F,sitting facing left with head down and knees up,9,1
pair32,26,3,director,A,dinosaur,1,1
pair32,27,3,director,K,kneeling with hands up,4,1
pair32,28,3,director,B,"kneeling, arms back and puking from the head",8,1
pair32,29,3,director,I,ice skater,2,1
pair32,30,3,director,H,no limbs guy,3,1
pair32,31,3,matcher,G,i like that. no limbs guy,6,1
pair32,31,3,director,G,guy leaning back on elbows. weird growth from forehead,9,1
pair32,32,3,director,J,big block with head in the middle,7,1
pair32,33,3,director,E,bunny ears,2,1
pair32,34,3,director,L,crouching,1,1
pair32,35,3,director,C,flyer,1,1
pair32,36,3,director,D,standing with book,3,1
